s,p,o
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP10,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"5,778.98 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#religion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Mountains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Mountains,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Thing
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#GDP3,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Amount,"6,862.50 USD"
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government1,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Parliamentary system
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#ExportItem7,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Cotton
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Cities6,http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Name,Pyongyang
http://www.semanticweb.org/abc/ontologies/2017/3/untitled-ontology-6#Government,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
